,Transcript stable ID
1016,ENSDART00000024882
1017,ENSDART00000024898
1018,ENSDART00000024984
1019,ENSDART00000025013
1020,ENSDART00000025057
1021,ENSDART00000025107
1022,ENSDART00000025126
1023,ENSDART00000025171
1024,ENSDART00000025224
1025,ENSDART00000025258
1026,ENSDART00000025315
1027,ENSDART00000025326
1028,ENSDART00000025428
1029,ENSDART00000025487
1030,ENSDART00000025494
1031,ENSDART00000025509
1032,ENSDART00000025530
1033,ENSDART00000025570
1034,ENSDART00000025575
1035,ENSDART00000025581
1036,ENSDART00000025621
1037,ENSDART00000025669
1038,ENSDART00000025713
1039,ENSDART00000025719
1040,ENSDART00000025724
1041,ENSDART00000025731
1042,ENSDART00000025749
1043,ENSDART00000025782
1044,ENSDART00000025803
1045,ENSDART00000025820
1046,ENSDART00000025841
1047,ENSDART00000025853
1048,ENSDART00000025966
1049,ENSDART00000025997
1050,ENSDART00000026088
1051,ENSDART00000026174
1052,ENSDART00000026189
1053,ENSDART00000026194
1054,ENSDART00000026244
1055,ENSDART00000026249
1056,ENSDART00000026257
1057,ENSDART00000026313
1058,ENSDART00000026314
1059,ENSDART00000026316
1060,ENSDART00000026339
1061,ENSDART00000026383
1062,ENSDART00000026464
1063,ENSDART00000026576
1064,ENSDART00000026592
1065,ENSDART00000026657
1066,ENSDART00000026693
1067,ENSDART00000026701
1068,ENSDART00000026726
1069,ENSDART00000026738
1070,ENSDART00000026747
1071,ENSDART00000026749
1072,ENSDART00000026765
1073,ENSDART00000026768
1074,ENSDART00000026794
1075,ENSDART00000026807
1076,ENSDART00000026814
1077,ENSDART00000026963
1078,ENSDART00000026966
1079,ENSDART00000026989
1080,ENSDART00000026992
1081,ENSDART00000027009
1082,ENSDART00000027014
1083,ENSDART00000027034
1084,ENSDART00000027115
1085,ENSDART00000027158
1086,ENSDART00000027171
1087,ENSDART00000027224
1088,ENSDART00000027225
1089,ENSDART00000027242
1090,ENSDART00000027250
1091,ENSDART00000027255
1092,ENSDART00000027301
1093,ENSDART00000027316
1094,ENSDART00000027331
1095,ENSDART00000027337
1096,ENSDART00000027345
1097,ENSDART00000027364
1098,ENSDART00000027386
1099,ENSDART00000027393
1100,ENSDART00000027417
1101,ENSDART00000027428
1102,ENSDART00000027454
1103,ENSDART00000027459
1104,ENSDART00000027466
1105,ENSDART00000027532
1106,ENSDART00000027550
1107,ENSDART00000027587
1108,ENSDART00000027598
1109,ENSDART00000027603
1110,ENSDART00000027616
1111,ENSDART00000027624
1112,ENSDART00000027657
1113,ENSDART00000027666
1114,ENSDART00000027684
1115,ENSDART00000027718
1116,ENSDART00000027782
1117,ENSDART00000027807
1118,ENSDART00000027836
1119,ENSDART00000027850
1120,ENSDART00000028003
1121,ENSDART00000028007
1122,ENSDART00000028017
1123,ENSDART00000028019
1124,ENSDART00000028043
1125,ENSDART00000028085
1126,ENSDART00000028090
1127,ENSDART00000028099
1128,ENSDART00000028159
1129,ENSDART00000028161
1130,ENSDART00000028217
1131,ENSDART00000028247
1132,ENSDART00000028251
1133,ENSDART00000028255
1134,ENSDART00000028297
1135,ENSDART00000028349
1136,ENSDART00000028373
1137,ENSDART00000028450
1138,ENSDART00000028481
1139,ENSDART00000028566
1140,ENSDART00000028592
1141,ENSDART00000028601
1142,ENSDART00000028612
1143,ENSDART00000028641
1144,ENSDART00000028673
1145,ENSDART00000028694
1146,ENSDART00000028842
1147,ENSDART00000028854
1148,ENSDART00000028856
1149,ENSDART00000028960
