Transcript stable ID	Protein stable ID
ENSDART00000103630	ENSDARP00000094406
ENSDART00000103650	ENSDARP00000099244
ENSDART00000103692	ENSDARP00000094467
ENSDART00000103724	ENSDARP00000094499
ENSDART00000103747	ENSDARP00000094522
ENSDART00000103752	ENSDARP00000094527
ENSDART00000103753	
ENSDART00000103839	ENSDARP00000094615
ENSDART00000103846	ENSDARP00000094622
ENSDART00000103862	ENSDARP00000094638
ENSDART00000103883	ENSDARP00000094659
ENSDART00000103886	ENSDARP00000094662
ENSDART00000103887	ENSDARP00000094663
ENSDART00000103894	ENSDARP00000094670
ENSDART00000103934	ENSDARP00000094710
ENSDART00000103940	ENSDARP00000094716
ENSDART00000103948	ENSDARP00000094724
ENSDART00000103950	ENSDARP00000094726
ENSDART00000103980	ENSDARP00000094755
ENSDART00000103986	ENSDARP00000094761
ENSDART00000103987	ENSDARP00000094762
ENSDART00000104029	ENSDARP00000094804
ENSDART00000104031	ENSDARP00000094806
ENSDART00000104035	ENSDARP00000094810
ENSDART00000104037	ENSDARP00000094812
ENSDART00000104046	ENSDARP00000094821
ENSDART00000104051	ENSDARP00000094826
ENSDART00000104058	ENSDARP00000094833
ENSDART00000104072	ENSDARP00000094847
ENSDART00000104111	ENSDARP00000094886
ENSDART00000104113	ENSDARP00000094888
ENSDART00000104143	ENSDARP00000094918
ENSDART00000104188	ENSDARP00000094963
ENSDART00000104204	ENSDARP00000094979
ENSDART00000104209	ENSDARP00000094984
ENSDART00000104249	ENSDARP00000095024
ENSDART00000104254	ENSDARP00000095029
ENSDART00000104268	ENSDARP00000095043
ENSDART00000104298	ENSDARP00000095073
ENSDART00000104303	ENSDARP00000095078
ENSDART00000104315	ENSDARP00000095090
ENSDART00000104317	ENSDARP00000095092
ENSDART00000104322	ENSDARP00000095097
ENSDART00000104358	ENSDARP00000095133
ENSDART00000104361	ENSDARP00000095136
ENSDART00000104420	ENSDARP00000095193
ENSDART00000104423	ENSDARP00000095196
ENSDART00000104425	ENSDARP00000095198
ENSDART00000104475	ENSDARP00000095248
ENSDART00000104476	ENSDARP00000095249
ENSDART00000104487	ENSDARP00000095260
ENSDART00000104493	ENSDARP00000095266
ENSDART00000104536	ENSDARP00000095309
ENSDART00000104576	ENSDARP00000095348
ENSDART00000104581	ENSDARP00000095353
ENSDART00000104592	ENSDARP00000095363
ENSDART00000104606	ENSDARP00000095377
ENSDART00000104607	ENSDARP00000095378
